feature,importance
rawThickness,0.19643766992191025
pressPressureGlobal_mean,0.1951191878279807
pressPressureC_mean,0.10291663887596035
pressPressureL_mean,0.10277463278099631
pressPressureMid_mean,0.081540544470506
pressPressureR_mean,0.0771964465947335
beltSpeed1,0.07371751667413351
thicknessClosed_mean,0.035477710668467534
thicknessClosed_range,0.017309413934079875
thicknessClosed_std,0.017116310144456682
thicknessClosed_max,0.016156910136824836
tempGlobal_mean,0.015054100192832431
thicknessClosed_min,0.013860202348570182
pressPressureGlobal_min,0.013771393488720845
pressPressureEnd_mean,0.008932746221348766
tempGlobal_std,0.008416078256479893
tempGlobal_range,0.005941913310162749
tempGlobal_max,0.003928704615870431
pressPressureR_std,0.0033816373755440232
pressPressureFrontEnd_diff,0.0018260761318165555
pressPressureGlobal_max,0.0015153228818827983
pressPressureGlobal_std,0.0014974103774964514
pressPressureC_std,0.0014021301256035253
pressPressureLR_mean_diff,0.0013143247314041776
pressPressureFront_mean,0.001124763224360249
pressPressureL_std,0.000785852067037075
tempGlobal_min,0.000774647943806748
pressPressureGlobal_range,0.0007097146770133791
