feature,importance
rawThickness,0.2750300649390123
thicknessClosed_mean,0.13871005525882577
pressPressureGlobal_mean,0.11491509307004655
pressPressureMid_mean,0.08714494907556136
pressPressureC_mean,0.07498820314125838
pressPressureL_mean,0.05900038754369729
pressPressureR_mean,0.049491948689076914
beltSpeed1,0.0445862963752756
thicknessClosed_std,0.021084996159279362
pressPressureGlobal_min,0.02010843710734902
thicknessClosed_range,0.01850988117087555
tempGlobal_mean,0.01701776668019632
tempGlobal_std,0.01206305561395988
thicknessClosed_max,0.011330430641577368
thicknessClosed_min,0.010068562657776964
tempGlobal_range,0.008242930417259044
pressPressureEnd_mean,0.006759849578561166
tempGlobal_max,0.005109035623623652
pressPressureGlobal_range,0.0051042301920633994
pressPressureGlobal_max,0.00416810084781326
pressPressureR_std,0.003250017927955211
pressPressureFrontEnd_diff,0.0030456437856472974
pressPressureFront_mean,0.0022568814516145744
pressPressureLR_mean_diff,0.0021448158782267595
pressPressureC_std,0.001996305552254473
tempGlobal_min,0.0014948441618943965
pressPressureGlobal_std,0.0013529158988690882
pressPressureL_std,0.0010243005604490697
