feature,importance
rawThickness,0.27014805552643323
thicknessClosed_mean,0.1384263665035589
pressPressureC_mean,0.11657895823936976
pressPressureMid_mean,0.10297744650789636
pressPressureGlobal_mean,0.08320124283563772
pressPressureR_mean,0.04829780109581982
tempGlobal_mean,0.033193367133234564
pressPressureL_mean,0.032142858582643055
thicknessClosed_std,0.02546037974972871
thicknessClosed_range,0.020926495070722865
pressPressureGlobal_min,0.020324574080395372
beltSpeed1,0.019862009710039145
thicknessClosed_min,0.015256951033813863
tempGlobal_std,0.015216212718871903
thicknessClosed_max,0.009624313155366883
tempGlobal_range,0.0075532574349289954
tempGlobal_max,0.007286370253178234
pressPressureEnd_mean,0.006055405697791504
pressPressureC_std,0.0053664710808390545
pressPressureGlobal_range,0.004414947886436959
pressPressureLR_mean_diff,0.0042549481943493245
pressPressureGlobal_max,0.003651404463008119
pressPressureFrontEnd_diff,0.0024406740456549545
pressPressureFront_mean,0.0018955793947867691
pressPressureGlobal_std,0.0015921227630283283
tempGlobal_min,0.0015605061261547595
pressPressureR_std,0.0013608738992389585
pressPressureL_std,0.0009304068170718295
