feature,importance
rawThickness,0.11541578894526112
pressPressureGlobal_range,0.10969761918036629
pressPressureFrontEnd_diff,0.10848282446988781
pressPressureGlobal_std,0.08139092786996682
pressPressureR_std,0.08025916246239002
pressPressureL_std,0.07551591329210823
pressPressureC_std,0.04533750263160408
beltSpeed1,0.044162586563657
tempGlobal_mean,0.04136813799066545
thicknessClosed_mean,0.03494819913142399
pressPressureGlobal_max,0.033448260768762235
thicknessClosed_max,0.031507648378956546
pressPressureC_mean,0.027426993529277313
tempGlobal_std,0.021648170962717303
thicknessClosed_std,0.021477741064195224
pressPressureFront_mean,0.01655872065422459
tempGlobal_max,0.014589634046614744
pressPressureGlobal_min,0.01233661859363866
pressPressureLR_mean_diff,0.012059740188913986
pressPressureMid_mean,0.011172742700718427
pressPressureGlobal_mean,0.010667920724008512
tempGlobal_range,0.010321564323959781
thicknessClosed_range,0.010248530100909113
pressPressureL_mean,0.009181731843428628
pressPressureEnd_mean,0.006473496755978802
tempGlobal_min,0.006434802890914254
pressPressureR_mean,0.006015782221275682
thicknessClosed_min,0.0018512377141754123
