feature,importance
rawThickness,0.33419442307699054
thicknessClosed_mean,0.22081903891820864
pressPressureMid_mean,0.14336663492491764
pressPressureGlobal_min,0.030777467809477554
beltSpeed1,0.028580826957180224
tempGlobal_mean,0.02588858318993138
thicknessClosed_std,0.02414293105753435
tempGlobal_max,0.023497107144166453
pressPressureL_mean,0.021829014557532844
tempGlobal_std,0.017457905190519558
thicknessClosed_range,0.015939258986315326
pressPressureEnd_mean,0.015616994569949635
thicknessClosed_max,0.014286302055378116
thicknessClosed_min,0.013207553157272543
pressPressureR_mean,0.010986786331238087
pressPressureGlobal_mean,0.01048049519439903
tempGlobal_range,0.009181143655363032
pressPressureC_mean,0.008585275882242178
pressPressureFrontEnd_diff,0.006728074448755304
pressPressureFront_mean,0.006384527110234115
pressPressureC_std,0.004216410570211538
pressPressureLR_mean_diff,0.0029448322269375205
pressPressureGlobal_max,0.002373746168148382
tempGlobal_min,0.0020941550730226195
pressPressureGlobal_range,0.0019769776846379028
pressPressureL_std,0.0018318291197733873
pressPressureR_std,0.0014813632465805202
pressPressureGlobal_std,0.0011303416930817085
