feature,importance
thicknessClosed_mean,0.37017345
pressPressureC_mean,0.14699915
pressPressureGlobal_min,0.09067297
rawThickness,0.09000725
thicknessClosed_min,0.044906326
pressPressureR_std,0.04108423
beltSpeed1,0.04065695
thicknessClosed_max,0.039171018
tempGlobal_range,0.031686146
pressPressureGlobal_range,0.028178576
pressPressureMid_mean,0.012332782
thicknessClosed_std,0.011441841
tempGlobal_min,0.0070471438
pressPressureEnd_mean,0.005939068
tempGlobal_mean,0.0045121615
thicknessClosed_range,0.0043444936
tempGlobal_max,0.003534279
tempGlobal_std,0.0035183702
pressPressureFrontEnd_diff,0.0034549166
pressPressureL_std,0.0030503394
pressPressureGlobal_max,0.0029690485
pressPressureC_std,0.002877266
pressPressureFront_mean,0.0023242268
pressPressureLR_mean_diff,0.0020470452
pressPressureR_mean,0.0020022132
pressPressureGlobal_mean,0.0018882151
pressPressureL_mean,0.0017777943
pressPressureGlobal_std,0.0014027312
