feature,importance
tempGlobal_mean,439
pressPressureEnd_mean,342
tempGlobal_std,294
tempGlobal_range,272
rawThickness,241
pressPressureLR_mean_diff,239
pressPressureGlobal_min,188
pressPressureC_std,188
tempGlobal_max,185
thicknessClosed_mean,178
pressPressureFrontEnd_diff,175
pressPressureMid_mean,170
pressPressureR_mean,168
thicknessClosed_max,144
pressPressureC_mean,144
pressPressureFront_mean,136
tempGlobal_min,131
pressPressureL_mean,129
beltSpeed1,119
pressPressureR_std,117
pressPressureL_std,109
pressPressureGlobal_mean,109
pressPressureGlobal_max,103
pressPressureGlobal_std,96
thicknessClosed_std,93
thicknessClosed_range,88
pressPressureGlobal_range,76
thicknessClosed_min,47
