feature,importance
pressPressureGlobal_mean,0.18571378489573043
pressPressureL_mean,0.13986344777150028
rawThickness,0.13794230964451704
thicknessClosed_mean,0.09352861140052422
pressPressureR_mean,0.0854334271383694
pressPressureC_mean,0.080021585040766
pressPressureMid_mean,0.0712462650116089
tempGlobal_mean,0.03683730568529027
pressPressureGlobal_min,0.0345706617989778
thicknessClosed_min,0.029918438113043816
pressPressureEnd_mean,0.01873006704631346
thicknessClosed_std,0.014879272910895483
thicknessClosed_max,0.012203798248407704
tempGlobal_max,0.011727184741591783
beltSpeed1,0.0076913327388944495
tempGlobal_std,0.006543180280972435
thicknessClosed_range,0.005505189487082728
pressPressureFront_mean,0.004722772120388112
pressPressureL_std,0.003374107271091098
pressPressureR_std,0.003333331221159842
pressPressureFrontEnd_diff,0.003121529240196945
tempGlobal_range,0.0029146029173289178
pressPressureGlobal_std,0.002458079221241885
pressPressureGlobal_range,0.0021011675655463
pressPressureC_std,0.0017192335217189741
pressPressureGlobal_max,0.0015855105214128528
tempGlobal_min,0.001228186794359212
pressPressureLR_mean_diff,0.0010856176510697425
