feature,importance
pressPressureGlobal_mean,0.34761354
pressPressureL_mean,0.20879778
pressPressureC_mean,0.19603501
beltSpeed1,0.09809679
thicknessClosed_mean,0.021792073
thicknessClosed_max,0.017866498
thicknessClosed_min,0.017863426
pressPressureEnd_mean,0.014477171
rawThickness,0.014303332
pressPressureR_std,0.010704064
pressPressureGlobal_min,0.010307919
pressPressureMid_mean,0.008199254
tempGlobal_max,0.0067590517
tempGlobal_mean,0.005142145
pressPressureFront_mean,0.0043540234
tempGlobal_range,0.0024406086
pressPressureR_mean,0.002196264
tempGlobal_std,0.0020081645
pressPressureGlobal_std,0.00186865
pressPressureGlobal_range,0.0014954441
pressPressureL_std,0.0014672356
thicknessClosed_range,0.0014380355
pressPressureC_std,0.0013016883
pressPressureGlobal_max,0.0009060301
pressPressureFrontEnd_diff,0.0007681608
thicknessClosed_std,0.00073092844
tempGlobal_min,0.00059856253
pressPressureLR_mean_diff,0.00046817234
