feature,importance
pressPressureGlobal_mean,0.34342173
pressPressureC_mean,0.1821517
beltSpeed1,0.16962758
pressPressureL_mean,0.12660797
thicknessClosed_min,0.05774371
rawThickness,0.033161566
thicknessClosed_max,0.015913831
pressPressureMid_mean,0.01243736
pressPressureEnd_mean,0.010016979
pressPressureFront_mean,0.0075109606
pressPressureGlobal_min,0.007172289
thicknessClosed_mean,0.005363494
pressPressureR_std,0.0049855756
tempGlobal_range,0.0040243454
tempGlobal_mean,0.0032110533
tempGlobal_min,0.003023143
tempGlobal_max,0.002430168
tempGlobal_std,0.0022014556
pressPressureC_std,0.0015985753
pressPressureFrontEnd_diff,0.0012149559
thicknessClosed_std,0.0009918705
pressPressureGlobal_range,0.0009548545
pressPressureGlobal_max,0.0009387765
thicknessClosed_range,0.0009355187
pressPressureR_mean,0.000897934
pressPressureL_std,0.0007748469
pressPressureLR_mean_diff,0.00038994887
pressPressureGlobal_std,0.0002978098
