feature,importance
thicknessClosed_mean,0.30820516
pressPressureC_mean,0.12841196
pressPressureGlobal_mean,0.09610684
thicknessClosed_max,0.07217162
pressPressureGlobal_min,0.07171909
rawThickness,0.06494064
thicknessClosed_std,0.049874168
thicknessClosed_min,0.037752166
pressPressureL_mean,0.035090294
beltSpeed1,0.019098679
tempGlobal_range,0.015615766
tempGlobal_min,0.015218109
pressPressureMid_mean,0.014476699
tempGlobal_std,0.012029343
pressPressureGlobal_range,0.008309467
tempGlobal_max,0.00650526
pressPressureC_std,0.0049364716
pressPressureL_std,0.0048976643
tempGlobal_mean,0.0046765865
pressPressureR_std,0.0044005876
pressPressureGlobal_max,0.0041685877
pressPressureFrontEnd_diff,0.0035478747
pressPressureEnd_mean,0.0035184338
thicknessClosed_range,0.0032334349
pressPressureR_mean,0.003128607
pressPressureFront_mean,0.0030475666
pressPressureLR_mean_diff,0.0028727928
pressPressureGlobal_std,0.002046223
