feature,importance
pressPressureGlobal_mean,0.30423597
thicknessClosed_min,0.187628
thicknessClosed_mean,0.099827744
pressPressureC_mean,0.074995086
pressPressureL_mean,0.06604771
pressPressureR_mean,0.0528362
thicknessClosed_max,0.03494763
pressPressureGlobal_min,0.030347029
thicknessClosed_std,0.024571883
pressPressureMid_mean,0.023785047
pressPressureEnd_mean,0.01752487
tempGlobal_mean,0.01709234
tempGlobal_max,0.01566823
rawThickness,0.012358066
tempGlobal_range,0.008844359
tempGlobal_std,0.0062556746
beltSpeed1,0.005049049
tempGlobal_min,0.0036940149
pressPressureGlobal_range,0.0023270657
pressPressureFrontEnd_diff,0.0021643024
thicknessClosed_range,0.001934831
pressPressureFront_mean,0.0018740572
pressPressureGlobal_max,0.0018623458
pressPressureLR_mean_diff,0.0009888773
pressPressureGlobal_std,0.0008671275
pressPressureC_std,0.00086315663
pressPressureL_std,0.0008445717
pressPressureR_std,0.0005647352
