feature,importance
tempGlobal_mean,465
tempGlobal_range,322
tempGlobal_std,291
pressPressureGlobal_min,278
pressPressureLR_mean_diff,254
rawThickness,231
pressPressureEnd_mean,222
pressPressureMid_mean,178
pressPressureR_mean,177
pressPressureGlobal_mean,168
pressPressureFrontEnd_diff,168
pressPressureC_std,158
tempGlobal_max,153
thicknessClosed_mean,147
pressPressureL_std,144
beltSpeed1,136
thicknessClosed_std,130
tempGlobal_min,128
pressPressureGlobal_std,115
pressPressureGlobal_range,111
pressPressureFront_mean,109
thicknessClosed_max,109
pressPressureC_mean,108
pressPressureL_mean,97
pressPressureR_std,95
thicknessClosed_range,76
pressPressureGlobal_max,72
thicknessClosed_min,32
