feature,importance
rawThickness,0.2745686569082931
thicknessClosed_mean,0.23614520210861464
pressPressureMid_mean,0.10768352111142118
tempGlobal_mean,0.0527478139295287
pressPressureC_mean,0.051084208529443224
pressPressureGlobal_min,0.037140502399958315
pressPressureGlobal_mean,0.03614059036529766
pressPressureR_mean,0.0340471974607301
thicknessClosed_std,0.03160372777798244
pressPressureL_mean,0.019700998718115214
tempGlobal_std,0.017787641886614226
thicknessClosed_min,0.015166251790009288
thicknessClosed_max,0.012402618435245856
pressPressureGlobal_range,0.009662286312662818
thicknessClosed_range,0.009646092409830727
pressPressureEnd_mean,0.009587287035090835
tempGlobal_max,0.009038670997742004
tempGlobal_range,0.007855968327331755
pressPressureFrontEnd_diff,0.00503616005157826
pressPressureLR_mean_diff,0.004170199928148457
beltSpeed1,0.0038068908928577143
pressPressureGlobal_max,0.002818570070185479
pressPressureC_std,0.0027043612909760824
pressPressureR_std,0.002512192575123605
pressPressureFront_mean,0.002047632500031631
pressPressureGlobal_std,0.001720842333591358
tempGlobal_min,0.0017026604397334935
pressPressureL_std,0.001471253413861899
