feature,importance
thicknessClosed_mean,0.18908946
pressPressureGlobal_mean,0.1848415
thicknessClosed_min,0.14592741
pressPressureC_mean,0.11455219
thicknessClosed_std,0.050234195
pressPressureGlobal_min,0.03998123
thicknessClosed_max,0.034119405
pressPressureMid_mean,0.03305903
rawThickness,0.030310594
tempGlobal_max,0.028147997
pressPressureGlobal_range,0.02649278
tempGlobal_mean,0.024786398
tempGlobal_range,0.017576544
beltSpeed1,0.0118312985
tempGlobal_std,0.01001334
thicknessClosed_range,0.009645921
pressPressureFrontEnd_diff,0.008011603
pressPressureGlobal_max,0.0064581516
tempGlobal_min,0.0054035024
pressPressureR_mean,0.004814374
pressPressureR_std,0.003933819
pressPressureEnd_mean,0.003548412
pressPressureC_std,0.0034822028
pressPressureFront_mean,0.003276629
pressPressureL_std,0.0030211983
pressPressureLR_mean_diff,0.002892672
pressPressureGlobal_std,0.0026262137
pressPressureL_mean,0.0019218739
